0:0:0:0:0:0:0:1 - - [12/Jul/2018:21:58:57 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:01:15 +0530] "GET /SamundiAgencies/IceBalance HTTP/1.1" 200 7487
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:01:15 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:01:15 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:01:15 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:01:15 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:01:15 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:01:15 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:01:15 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:01:15 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:01:15 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:01:15 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:01:15 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:01:15 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
