127.0.0.1 - - [04/Aug/2018:10:32:26 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:32:29 +0530] "GET /SamundiAgencies/ HTTP/1.1" 200 7772
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:32:47 +0530] "GET /SamundiAgencies/ HTTP/1.1" 200 7772
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:32:53 +0530] "GET /SamundiAgencies/ HTTP/1.1" 200 7772
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:33:02 +0530] "GET /SamundiAgencies/CounterClosingUpload HTTP/1.1" 200 12471
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:33:02 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:33:02 +0530] "GET /resources/css/datatables.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:33:02 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:33:02 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:33:02 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:33:02 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:33:02 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:33:47 +0530] "POST /SamundiAgencies/CounterClosingSubmit HTTP/1.1" 200 7772
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:38:05 +0530] "GET /SamundiAgencies/CounterClosingUpload HTTP/1.1" 200 12471
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:38:05 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:38:05 +0530] "GET /resources/css/datatables.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:38:05 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:38:05 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:38:05 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:38:05 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:38:05 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:38:39 +0530] "POST /SamundiAgencies/CounterClosingSubmit HTTP/1.1" 200 7772
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:48:14 +0530] "GET /SamundiAgencies/CounterClosingUpload HTTP/1.1" 200 12787
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:48:14 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:48:14 +0530] "GET /resources/css/datatables.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:48:14 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:48:14 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:48:14 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:48:15 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:48:15 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:48:44 +0530] "POST /SamundiAgencies/CounterClosingSubmit HTTP/1.1" 200 7772
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:50:01 +0530] "GET /SamundiAgencies/CounterClosingUpload HTTP/1.1" 200 12787
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:50:02 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:50:02 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:50:02 +0530] "GET /resources/css/datatables.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:50:02 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:50:02 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:50:02 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:50:02 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:50:46 +0530] "POST /SamundiAgencies/CounterClosingSubmit HTTP/1.1" 200 7772
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:58:19 +0530] "GET /SamundiAgencies/CounterClosingUpload HTTP/1.1" 200 12787
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:58:19 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:58:19 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:58:19 +0530] "GET /resources/css/datatables.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:58:19 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:58:19 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:58:19 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:58:19 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [04/Aug/2018:10:59:00 +0530] "POST /SamundiAgencies/CounterClosingSubmit HTTP/1.1" 200 7772
0:0:0:0:0:0:0:1 - - [04/Aug/2018:11:00:34 +0530] "GET /SamundiAgencies/CounterClosingUpload HTTP/1.1" 200 12787
0:0:0:0:0:0:0:1 - - [04/Aug/2018:11:01:14 +0530] "POST /SamundiAgencies/CounterClosingSubmit HTTP/1.1" 200 7772
