0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:55:37 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:55:37 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:55:37 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:55:45 +0530] "GET /SamundiAgencies/ReportIceBalanceEdit?id=1 HTTP/1.1" 200 11033
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:55:45 +0530] "GET /resources/css/headercss.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:55:55 +0530] "GET /SamundiAgencies/index HTTP/1.1" 200 8853
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:55:59 +0530] "GET /SamundiAgencies/RetailerUpload HTTP/1.1" 200 9299
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:04 +0530] "GET /SamundiAgencies/RetailerList HTTP/1.1" 200 12167
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:04 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:04 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:04 +0530] "GET /resources/css/datatables.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:04 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:04 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:04 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:04 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:12 +0530] "GET /SamundiAgencies/ProductUpload HTTP/1.1" 200 10342
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:20 +0530] "GET /SamundiAgencies/ProductUploadList HTTP/1.1" 200 11813
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:20 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:20 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:20 +0530] "GET /resources/css/datatables.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:20 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:20 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:21 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:21 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:30 +0530] "GET /SamundiAgencies/OpenCounterClosingUpload HTTP/1.1" 200 13723
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:30 +0530] "GET /resources/css/datatables.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:30 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:30 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:30 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:30 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:30 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:30 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:36 +0530] "GET /SamundiAgencies/CounterClosingListByDate HTTP/1.1" 200 10073
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:45 +0530] "POST /SamundiAgencies/CounterClosingListByDateSubmit HTTP/1.1" 200 12259
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:45 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:45 +0530] "GET /resources/css/datatables.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:45 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:45 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:45 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:45 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:45 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:59 +0530] "GET /SamundiAgencies/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:56:59 +0530] "GET /SamundiAgencies/ HTTP/1.1" 200 8949
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:57:47 +0530] "GET /SamundiAgencies/login HTTP/1.1" 200 9837
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:57:56 +0530] "GET /SamundiAgencies/index HTTP/1.1" 200 8949
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:57:58 +0530] "GET /SamundiAgencies/Cmpny_Exp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:57:58 +0530] "GET /SamundiAgencies/login HTTP/1.1" 200 9837
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:58:01 +0530] "GET /SamundiAgencies/index HTTP/1.1" 200 8949
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:58:03 +0530] "GET /SamundiAgencies/RetailerUpload HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:58:03 +0530] "GET /SamundiAgencies/login HTTP/1.1" 200 9837
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:58:10 +0530] "POST /SamundiAgencies/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:58:10 +0530] "GET /SamundiAgencies/RetailerUpload HTTP/1.1" 200 9299
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:58:16 +0530] "GET /SamundiAgencies/Cmpny_Exp HTTP/1.1" 200 11673
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:58:36 +0530] "POST /SamundiAgencies/Cmpny_Exp_submit HTTP/1.1" 200 11673
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:58:38 +0530] "GET /SamundiAgencies/Report_Cmpny_Exp HTTP/1.1" 200 10112
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:58:45 +0530] "POST /SamundiAgencies/Report_Cmpny_Exp_Data HTTP/1.1" 200 11437
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:58:45 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:58:45 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:58:45 +0530] "GET /resources/css/datatables.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:58:45 +0530] "GET /resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:58:45 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [08/Aug/2018:16:58:46 +0530] "GET /resources/js/jquery.dataTables.min.js HTTP/1.1" 404 1068
