127.0.0.1 - - [25/Jul/2018:10:53:32 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Jul/2018:10:53:38 +0530] "GET /SamundiAgencies/ HTTP/1.1" 500 37252
0:0:0:0:0:0:0:1 - - [25/Jul/2018:10:56:04 +0530] "GET /SamundiAgencies/login HTTP/1.1" 200 8185
0:0:0:0:0:0:0:1 - - [25/Jul/2018:10:56:07 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Jul/2018:10:56:15 +0530] "GET /SamundiAgencies/index HTTP/1.1" 200 7190
0:0:0:0:0:0:0:1 - - [25/Jul/2018:10:58:27 +0530] "GET /SamundiAgencies/index HTTP/1.1" 200 7244
0:0:0:0:0:0:0:1 - - [25/Jul/2018:10:59:13 +0530] "GET /SamundiAgencies/index HTTP/1.1" 200 7263
0:0:0:0:0:0:0:1 - - [25/Jul/2018:10:59:40 +0530] "GET /SamundiAgencies/index HTTP/1.1" 200 7297
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:00:07 +0530] "GET /SamundiAgencies/index HTTP/1.1" 200 7297
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:04:30 +0530] "GET /SamundiAgencies/index HTTP/1.1" 200 7772
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:10:39 +0530] "GET /SamundiAgencies/index HTTP/1.1" 200 7772
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:10:42 +0530] "GET /SamundiAgencies/CounterClosingUpload HTTP/1.1" 200 7745
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:10:57 +0530] "GET /SamundiAgencies/CounterClosingUpload HTTP/1.1" 200 7740
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:24:24 +0530] "GET /SamundiAgencies/CounterClosingUpload HTTP/1.1" 200 11216
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:24:25 +0530] "GET /resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:24:25 +0530] "GET /resources/css/datatables.css HTTP/1.1" 404 1050
